420_6,420_5,420_4,420_3,420_2,420_1,390_6,390_5,390_4,390_3,390_2,390_1,360_6,360_5,360_4,360_3,360_2,360_1,330_6,330_5,330_4,330_3,330_2,330_1,300_6,300_5,300_4,300_3,300_2,300_1,270_6,270_5,270_4,270_3,270_2,270_1,240_6,240_5,240_4,240_3,240_2,240_1,210_6,210_5,210_4,210_3,210_2,210_1,180_6,180_5,180_4,180_3,180_2,180_1,150_6,150_5,150_4,150_3,150_2,150_1,120_6,120_5,120_4,120_3,120_2,120_1,90_6,90_5,90_4,90_3,90_2,90_1,60_6,60_5,60_4,60_3,60_2,60_1,30_6,30_5,30_4,30_3,30_2,30_1,0_6,0_5,0_4,0_3,0_2,0_1,state
0,0,0,0,0,0,0,0,4,8,8,6,0,0,0,0,2,0,0,0,9,19,18,14,12,12,17,17,48,24,6,10,8,6,12,6,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,1,5,1,1,9,1,0,0,0,0,0,0,AW
0,0,4,8,8,6,0,0,0,0,2,0,0,0,9,19,18,14,12,12,17,17,48,24,6,10,8,6,12,6,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,1,5,1,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,AW
0,0,0,0,2,0,0,0,9,19,18,14,12,12,17,17,48,24,6,10,8,6,12,6,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,1,5,1,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AW
0,0,9,19,18,14,12,12,17,17,48,24,6,10,8,6,12,6,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,1,5,1,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AW
12,12,17,17,48,24,6,10,8,6,12,6,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,1,5,1,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AW
6,10,8,6,12,6,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,1,5,1,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,AW
0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,1,5,1,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,9,2,AW
0,0,0,0,0,0,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,1,5,1,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,9,2,0,0,0,0,0,0,AW
3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,1,5,1,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,9,2,0,0,0,0,0,0,0,0,0,0,0,0,AW
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,1,5,1,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AW
0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,1,5,1,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AW
0,0,0,0,0,0,2,2,0,2,2,0,1,5,1,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,AW
